title,year,citations_scopus,citations_scholar,venue,doi,core_rank,scimago_quartile,sjr_score,sjr_score,sjr_score,sjr_score,type,source
Report From The 4Th Strategic Workshop On Information Retrieval In Lorne (Swirl 2025),2025.0,0,1.0,Annals of the Entomological Society of America,10.1145/3769733.3769739,N/A,Q1,Annals of the Entomological Society of America,journal,"0,834",annals of the entomological society of america,Journal,Scopus + Scholar
Report On The 2Nd Workshop On Query Performance Prediction And Its Applications In The Era Of Large Language Models (Qpp++ 2025) At Ecir 2025,2025.0,0,0.0,Annals of the Entomological Society of America,10.1145/3769733.3769743,N/A,Q1,Annals of the Entomological Society of America,journal,"0,834",annals of the entomological society of america,Journal,Scopus + Scholar
Preface,2024.0,0,0.0,Advances in Computational Science and Engineering,10.3934/acse.2024021,B,Q1,Computing in Science and Engineering,journal,"0,735",computing in science and engineering,Journal,Scopus
An Extensible And Unifying Approach To Retrospective Clinical Data Modeling: The Brainteaser Ontology,2024.0,1,4.0,Journal of Biomedical Semantics,10.1186/s13326-024-00317-y,N/A,Q2,Journal of Biomedical Semantics,journal,"0,491",journal of biomedical semantics,Journal,Scopus + Scholar
"On The Ordering Of Pooled Web Pages, Gold Assessments, And Bronze Assessments",2023.0,1,3.0,ACM Transactions on Information Systems,10.1145/3600227,N/A,Q1,ACM Transactions on Information Systems,journal,"1,540",acm transactions on information systems,Journal,Scopus + Scholar
An In-Depth Investigation On The Behavior Of Measures To Quantify Reproducibility,2023.0,9,17.0,Information Processing and Management,10.1016/j.ipm.2023.103332,A*,Q1,Information Processing and Management,journal,"2,062",information processing and management,Journal,Scopus + Scholar
Topic Difficulty: Collection And Query Formulation Effects,2022.0,27,43.0,ACM Transactions on Information Systems,10.1145/3470563,N/A,Q1,ACM Transactions on Information Systems,journal,"1,540",acm transactions on information systems,Journal,Scopus + Scholar
Smare: A New Paradigm To Evaluate And Understand Query Performance Prediction Methods,2022.0,21,31.0,Information Retrieval Journal,10.1007/s10791-022-09407-w,N/A,Q2,Information Security Journal,journal,"0,489",information security journal,Journal,Scopus + Scholar
Estimation Of Hail Damage Using Crop Models And Remote Sensing,2021.0,19,0.0,Remote Sensing,10.3390/rs13142655,N/A,Q1,Remote Sensing,journal,"1,019",remote sensing,Journal,Scopus
"Influence Of Tillage And Crop Rotations In Organic And Conventional Farming Systems On Soil Organic Matter, Bulk Density And Enzymatic Activities In A Short-Term Field Experiment",2021.0,26,0.0,Agronomy,10.3390/agronomy11040724,N/A,Q1,Agronomy,journal,"0,744",agronomy,Journal,Scopus
Towards Meaningful Statements In Ir Evaluation: Mapping Evaluation Measures To Interval Scales,2021.0,17,43.0,IEEE Access,10.1109/ACCESS.2021.3116857,N/A,Q1,IEEE Access,journal,"0,849",ieee access,Journal,Scopus + Scholar
Boosting Learning To Rank With User Dynamics And Continuation Methods,2020.0,2,4.0,Information Retrieval Journal,10.1007/s10791-019-09366-9,N/A,Q2,Information Security Journal,journal,"0,489",information security journal,Journal,Scopus + Scholar
How Do Interval Scales Help Us With Better Understanding Ir Evaluation Measures?,2020.0,11,23.0,Information Retrieval Journal,10.1007/s10791-019-09362-z,N/A,Q2,Information Security Journal,journal,"0,489",information security journal,Journal,Scopus + Scholar
Using Collection Shards To Study Retrieval Performance Effect Sizes,2019.0,23,37.0,ACM Transactions on Information Systems,10.1145/3310364,N/A,Q1,ACM Transactions on Information Systems,journal,"1,540",acm transactions on information systems,Journal,Scopus + Scholar
A General Theory Of Ir Evaluation Measures,2019.0,20,30.0,IEEE Transactions on Knowledge and Data Engineering,10.1109/TKDE.2018.2840708,A,Q1,IEEE Transactions on Knowledge and Data Engineering,journal,"2,570",ieee transactions on knowledge and data engineering,Journal,Scopus + Scholar
Claire: A Combinatorial Visual Analytics System For Information Retrieval Evaluation,2018.0,14,24.0,Information Processing and Management,10.1016/j.ipm.2018.04.006,A*,Q1,Information Processing and Management,journal,"2,062",information processing and management,Journal,Scopus + Scholar
Toward An Anatomy Of Ir System Component Performances,2018.0,34,48.0,Journal of the Association for Information Science and Technology,10.1002/asi.23910,C,Q1,Journal of the Association for Information Science and Technology,journal,"1,245",journal of the association for information science and technology,Journal,Scopus + Scholar
Introduction To The Special Issue On Reproducibility In Information Retrieval: Tools And Infrastructures,2018.0,6,13.0,Journal of Data and Information Quality,10.1145/3268410,N/A,Q2,Journal of Data and Information Quality,journal,"0,565",journal of data and information quality,Journal,Scopus + Scholar
"Introduction To The Special Issue On Reproducibility In Information Retrieval: Evaluation Campaigns, Collections, And Analyses",2018.0,7,10.0,Journal of Data and Information Quality,10.1145/3268408,N/A,Q2,Journal of Data and Information Quality,journal,"0,565",journal of data and information quality,Journal,Scopus + Scholar
Aware: Exploiting Evaluation Measures To Combine Multiple Assessors,2017.0,9,13.0,ACM Transactions on Information Systems,10.1145/3110217,N/A,Q1,ACM Transactions on Information Systems,journal,"1,540",acm transactions on information systems,Journal,Scopus + Scholar
What Does Affect The Correlation Among Evaluation Measures?,2017.0,11,16.0,ACM Transactions on Information Systems,10.1145/3106371,N/A,Q1,ACM Transactions on Information Systems,journal,"1,540",acm transactions on information systems,Journal,Scopus + Scholar
"3.5K Runs, 5K Topics, 3M Assessments And 70M Measures: What Trends In 10 Years Of Adhoc-Ish Clef?",2017.0,7,19.0,Information Processing and Management,10.1016/j.ipm.2016.08.001,A*,Q1,Information Processing and Management,journal,"2,062",information processing and management,Journal,Scopus + Scholar
A Surveillance System For Diseases Of Companion Animals In The Veneto Region (Italy),2017.0,12,27.0,OIE Revue Scientifique Et Technique,10.20506/rst36.3.2732,N/A,Q2,OIE Revue Scientifique et Technique,journal,"0,442",oie revue scientifique et technique,Journal,Scopus + Scholar
Semantic Representation And Enrichment Of Information Retrieval Experimental Data,2017.0,21,39.0,International Journal on Digital Libraries,10.1007/s00799-016-0172-8,A,Q2,International Journal on Digital Libraries,journal,"0,473",international journal on digital libraries,Journal,Scopus + Scholar
Reproducibility Challenges In Information Retrieval Evaluation,2017.0,46,71.0,Journal of Data and Information Quality,10.1145/3020206,N/A,Q2,Journal of Data and Information Quality,journal,"0,565",journal of data and information quality,Journal,Scopus + Scholar
"Descendants, Ancestors, Children And Parent: A Set-Based Approach To Efficiently Address Xpath Primitives",2016.0,7,6.0,Information Processing and Management,10.1016/j.ipm.2015.11.001,A*,Q1,Information Processing and Management,journal,"2,062",information processing and management,Journal,Scopus + Scholar
The Twist Measure For Ir Evaluation: Taking User'S Effort Into Account,2016.0,16,21.0,Journal of the Association for Information Science and Technology,10.1002/asi.23416,C,Q1,Journal of the Association for Information Science and Technology,journal,"1,245",journal of the association for information science and technology,Journal,Scopus + Scholar
Digital Library Interoperability At High Level Of Abstraction,2016.0,23,53.0,Future Generation Computer Systems,10.1016/j.future.2015.09.020,N/A,Q1,Future Generation Computer Systems,journal,"1,551",future generation computer systems,Journal,Scopus + Scholar
Virtue: A Visual Tool For Information Retrieval Performance Evaluation And Failure Analysis,2014.0,19,40.0,Journal of Visual Languages and Computing,10.1016/j.jvlc.2013.12.003,C,Q3,Journal of Computer Languages,journal,"0,426",journal of computer languages,Journal,Scopus + Scholar
Nestor: A Formal Model For Digital Archives,2013.0,18,36.0,Information Processing and Management,10.1016/j.ipm.2013.05.001,A*,Q1,Information Processing and Management,journal,"2,062",information processing and management,Journal,Scopus + Scholar
A Formal Model Of Annotations Of Digital Content,2007.0,76,199.0,ACM Transactions on Information Systems,10.1145/1292591.1292594,N/A,Q1,ACM Transactions on Information Systems,journal,"1,540",acm transactions on information systems,Journal,Scopus + Scholar
A Historical And Contemporary Study On Annotations To Derive Key Features For Systems Design,2007.0,29,81.0,International Journal on Digital Libraries,10.1007/s00799-007-0010-0,A,Q2,International Journal on Digital Libraries,journal,"0,473",international journal on digital libraries,Journal,Scopus + Scholar
Integration Of The Dilas Annotation Service Into Digital Library Infrastructures,2006.0,2,8.0,D Lib Magazine,,N/A,Q2,AI Magazine,journal,"0,634",ai magazine,Journal,Scopus + Scholar
A Probabilistic Model For Stemmer Generation,2005.0,49,84.0,Information Processing and Management,10.1016/j.ipm.2004.04.006,A*,Q1,Information Processing and Management,journal,"2,062",information processing and management,Journal,Scopus + Scholar
